FlightNum,UniqueCarrier (Airline),Origin,Dest,Distance
369,WN,RNO,SEA,564
370,WN,RNO,SJC,188
371,WN,RNO,SLC,422
372,WN,RSW,BWI,919
373,WN,RSW,ISP,1101
374,WN,RSW,MCO,133
375,WN,RSW,MDW,1105
376,WN,SAN,ABQ,628
377,WN,SAN,AUS,1164
378,WN,SAN,BNA,1751
379,WN,SAN,BWI,2295
380,WN,SAN,ELP,636
381,WN,SAN,HOU,1312
382,WN,SAN,LAS,258
383,WN,SAN,MCI,1333
384,WN,SAN,MDW,1728
385,WN,SAN,OAK,446
386,WN,SAN,PHX,304
387,WN,SAN,RNO,488
388,WN,SAN,SFO,447
389,WN,SAN,SJC,417
390,WN,SAN,SMF,480
391,WN,SAN,TUS,367
392,WN,SAT,BNA,822
393,WN,SAT,BWI,1407
394,WN,SAT,DAL,248
395,WN,SAT,ELP,496
396,WN,SAT,HOU,192
397,WN,SAT,HRL,233
398,WN,SAT,LAS,1069
399,WN,SAT,LAX,1210
400,WN,SAT,MCO,1040
401,WN,SAT,MDW,1036
402,WN,SAT,PHX,843
403,WN,SAT,TPA,972
404,WN,SDF,BHM,323
405,WN,SDF,BWI,495
406,WN,SDF,LAS,1624
407,WN,SDF,MCO,718
408,WN,SDF,MDW,271
409,WN,SDF,PHX,1506
410,WN,SDF,STL,254
411,WN,SDF,TPA,727
412,WN,SEA,ABQ,1180
413,WN,SEA,BNA,1977
414,WN,SEA,BOI,399
415,WN,SEA,DEN,1024
416,WN,SEA,GEG,224
417,WN,SEA,LAS,866
418,WN,SEA,MCI,1489
419,WN,SEA,MDW,1733
420,WN,SEA,OAK,671
421,WN,SEA,PHX,1107
422,WN,SEA,RNO,564
423,WN,SEA,SJC,697
424,WN,SEA,SLC,689
425,WN,SEA,SMF,605
426,WN,SFO,LAS,414
427,WN,SFO,LAX,337
428,WN,SFO,MDW,1855
429,WN,SFO,SAN,447
430,WN,SJC,BUR,296
431,WN,SJC,LAS,386
432,WN,SJC,LAX,308
433,WN,SJC,MDW,1838
434,WN,SJC,ONT,333
435,WN,SJC,PDX,569
436,WN,SJC,PHX,621
437,WN,SJC,RNO,188
438,WN,SJC,SAN,417
439,WN,SJC,SEA,697
440,WN,SJC,SNA,342
441,WN,SLC,ABQ,493
442,WN,SLC,BOI,291
443,WN,SLC,BWI,1864
444,WN,SLC,DEN,391
